pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,108.56102289998671,109.51127610000549,109.51127610000549,109.51127610000549,109.51127610000549,109.57504179998068,110.50844269996742,110.50844269996742,x,1,1.3259978999849409,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,0,1,1,1,,,,,111.8933098000125,112.89190200000303,112.89190200000303,112.89190200000303,112.89190200000303,112.9116191000212,113.88563789997716,113.88563789997716,v,1,1.195183600008022,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,0,2,2,2,,,,,115.10414130002027,116.10796479997225,116.10796479997225,116.10796479997225,116.10796479997225,116.10796479997225,117.10462519997964,117.10462519997964,c,1,1.5581522000138648,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,0,3,3,3,,,,,118.68889519997174,119.6873470999999,119.6873470999999,119.6873470999999,119.6873470999999,119.70390289998613,120.6881229999708,120.6881229999708,z,1,0.9106117999763228,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,1,0,4,0,,,,,121.62086099997396,122.62114259996451,122.62114259996451,122.62114259996451,122.62114259996451,122.62114259996451,123.62221309996676,123.62221309996676,x,1,1.0102703000302427,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,1,1,5,1,,,,,124.65490239998326,125.65512760001002,125.65512760001002,125.65512760001002,125.65512760001002,125.65512760001002,126.65602389996639,126.65602389996639,v,1,0.8489483000012115,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
50,c,1,2,6,2,,,,,127.53878709999844,128.52261310000904,128.52261310000904,128.52261310000904,128.52261310000904,128.53893609996885,129.52228629996534,129.52228629996534,c,1,1.0786030000308529,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-150,z,1,3,7,3,,,,,130.62240039999597,131.62273399997503,131.62273399997503,131.62273399997503,131.62273399997503,131.62273399997503,132.62282789999153,132.62282789999153,z,1,0.7422740999609232,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
-50,x,2,0,8,0,,,,,133.38964100001613,134.37844900001073,134.37844900001073,134.37844900001073,134.37844900001073,134.39757709996775,135.37748779996764,135.37748779996764,x,1,0.7524254000163637,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
150,v,2,1,9,1,,,,,136.15851939999266,137.15812219999498,137.15812219999498,137.15812219999498,137.15812219999498,137.15812219999498,138.1597254999797,138.1597254999797,v,1,0.7450261999620125,ABC,001,2022-10-04_15h42.04.551,sequential,2022.2.2,60.808497605843975,
