2.6605 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
35.0658 	EXP 	fixation: autoDraw = False
35.0658 	EXP 	grating: autoDraw = True
35.3658 	EXP 	grating: autoDraw = False
35.7191 	EXP 	New trial (rep=10, index=0): None
35.7209 	DATA 	Keypress: up
35.7327 	EXP 	fixation: autoDraw = False
35.7327 	EXP 	grating: autoDraw = False
35.7327 	EXP 	grating: ori = -5.0
35.7327 	EXP 	fixation: autoDraw = True
36.7328 	EXP 	fixation: autoDraw = False
36.7328 	EXP 	grating: autoDraw = True
37.0328 	EXP 	grating: autoDraw = False
37.3694 	EXP 	New trial (rep=11, index=0): None
37.3711 	DATA 	Keypress: down
37.3830 	EXP 	fixation: autoDraw = False
37.3830 	EXP 	grating: autoDraw = False
37.3830 	EXP 	grating: ori = 0.0
37.3830 	EXP 	fixation: autoDraw = True
38.3832 	EXP 	fixation: autoDraw = False
38.3832 	EXP 	grating: autoDraw = True
38.6833 	EXP 	grating: autoDraw = False
38.8698 	EXP 	New trial (rep=12, index=0): None
38.8717 	DATA 	Keypress: up
38.8834 	EXP 	fixation: autoDraw = False
38.8834 	EXP 	grating: autoDraw = False
38.8834 	EXP 	grating: ori = 2.0
38.8834 	EXP 	fixation: autoDraw = True
39.8835 	EXP 	fixation: autoDraw = False
39.8835 	EXP 	grating: autoDraw = True
40.1836 	EXP 	grating: autoDraw = False
40.9206 	EXP 	New trial (rep=13, index=0): None
40.9224 	DATA 	Keypress: down
40.9339 	EXP 	fixation: autoDraw = False
40.9339 	EXP 	grating: autoDraw = False
40.9339 	EXP 	grating: ori = 0.0
40.9339 	EXP 	fixation: autoDraw = True
41.9342 	EXP 	fixation: autoDraw = False
41.9342 	EXP 	grating: autoDraw = True
42.2344 	EXP 	grating: autoDraw = False
42.6538 	EXP 	New trial (rep=14, index=0): None
42.6557 	DATA 	Keypress: up
42.6675 	EXP 	fixation: autoDraw = False
42.6675 	EXP 	grating: autoDraw = False
42.6675 	EXP 	grating: ori = 0.0
42.6675 	EXP 	fixation: autoDraw = True
43.6678 	EXP 	fixation: autoDraw = False
43.6678 	EXP 	grating: autoDraw = True
43.9678 	EXP 	grating: autoDraw = False
44.4545 	EXP 	New trial (rep=15, index=0): None
44.4563 	DATA 	Keypress: up
44.4678 	EXP 	fixation: autoDraw = False
44.4678 	EXP 	grating: autoDraw = False
44.4678 	EXP 	grating: ori = 0.0
44.4678 	EXP 	fixation: autoDraw = True
45.4681 	EXP 	fixation: autoDraw = False
45.4681 	EXP 	grating: autoDraw = True
45.7683 	EXP 	grating: autoDraw = False
46.0532 	DATA 	Keypress: up
46.0712 	EXP 	New trial (rep=16, index=0): None
46.0851 	EXP 	fixation: autoDraw = False
46.0851 	EXP 	grating: autoDraw = False
46.0851 	EXP 	grating: ori = 0.0
46.0851 	EXP 	fixation: autoDraw = True
47.0853 	EXP 	fixation: autoDraw = False
47.0853 	EXP 	grating: autoDraw = True
47.3854 	EXP 	grating: autoDraw = False
47.6384 	EXP 	New trial (rep=17, index=0): None
47.6404 	DATA 	Keypress: up
47.6520 	EXP 	fixation: autoDraw = False
47.6520 	EXP 	grating: autoDraw = False
