2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
43.6396 	EXP 	fixation: autoDraw = True
44.6429 	EXP 	fixation: autoDraw = False
44.6429 	EXP 	grating: autoDraw = True
44.6429 	EXP 	grating: tex = 'sin'
44.9431 	EXP 	grating: autoDraw = False
45.1128 	EXP 	window1: recordFrameIntervals = False
45.1141 	DATA 	Keypress: right
45.1266 	EXP 	fixation: autoDraw = False
45.1266 	EXP 	grating: autoDraw = False
45.1268 	EXP 	window1: recordFrameIntervals = False
46.1285 	EXP 	fixation: autoDraw = True
47.1150 	EXP 	grating: autoDraw = True
47.1150 	EXP 	grating: tex = 'sin'
47.1290 	EXP 	fixation: autoDraw = False
47.4293 	EXP 	grating: autoDraw = False
47.5167 	EXP 	window1: recordFrameIntervals = False
47.5187 	DATA 	Keypress: left
47.5308 	EXP 	fixation: autoDraw = False
47.5308 	EXP 	grating: autoDraw = False
47.5315 	EXP 	window1: recordFrameIntervals = False
48.5295 	EXP 	fixation: autoDraw = True
49.5302 	EXP 	fixation: autoDraw = False
49.5302 	EXP 	grating: autoDraw = True
49.5302 	EXP 	grating: tex = 'sin'
49.8459 	EXP 	grating: autoDraw = False
50.1225 	EXP 	window1: recordFrameIntervals = False
50.1256 	DATA 	Keypress: left
50.1333 	EXP 	fixation: autoDraw = False
50.1333 	EXP 	grating: autoDraw = False
50.1336 	EXP 	window1: recordFrameIntervals = False
51.1271 	EXP 	fixation: autoDraw = True
52.1313 	EXP 	fixation: autoDraw = False
52.1313 	EXP 	grating: autoDraw = True
52.1313 	EXP 	grating: tex = 'sin'
52.4352 	EXP 	window1: recordFrameIntervals = False
52.4380 	DATA 	Keypress: right
52.4471 	EXP 	grating: autoDraw = False
52.4471 	EXP 	fixation: autoDraw = False
52.4471 	EXP 	grating: autoDraw = False
